Hours since 00:00 Jan 1,Total Electricity Consumption (10^7)
819.5,145740342
820.5,140671146
821.5,142127924
822.5,165273167
823.5,172085453
824.5,161026738
825.5,156432752
826.5,177159027
827.5,153550362
828.5,142787658
829.5,136309582
830.5,133488373
831.5,132239681
832.5,135511620
833.5,170658936
834.5,163098097
835.5,173979931
836.5,179191256
837.5,188950615
838.5,190897122
839.5,192245598
840.5,198514778
841.5,200447078
842.5,212176305
843.5,218538099
844.5,217112778
845.5,228419952
846.5,237771802
847.5,256424114
848.5,226102761
849.5,202163536
850.5,215614071
851.5,172811715
852.5,147406318
853.5,133152259
854.5,140695296
855.5,149782646
856.5,161240811
857.5,202627861
858.5,186584753
859.5,187037110
860.5,189658289
861.5,205649849
862.5,208578347
863.5,215675996
864.5,208792860
865.5,212339185
866.5,223444562
867.5,226996751
868.5,244491820
869.5,254368827
870.5,277984422
871.5,285203638
872.5,256268203
873.5,224717816
874.5,238020089
875.5,185923839
876.5,160459535
877.5,146856424
878.5,143714423
879.5,147335324
880.5,169648310
881.5,229866737
882.5,231386121
883.5,234561185
884.5,230028461
885.5,237102354
886.5,247601331
887.5,244475154
888.5,245027962
889.5,248277377
890.5,255631396
891.5,266522588
892.5,271677992
893.5,278932272
894.5,283801466
895.5,281820302
896.5,261989774
897.5,231753023
898.5,242482103
899.5,188353964
900.5,164787737
901.5,144564408
902.5,143893078
903.5,151831608
904.5,160695311
905.5,210985442
906.5,196928122
907.5,194941511
908.5,203797656
909.5,205728255
910.5,194893304
911.5,192782711
912.5,195016681
913.5,192601182
914.5,192836904
915.5,191046097
916.5,187473348
917.5,189975311
918.5,197293882
919.5,198903356
920.5,176364295
921.5,151180442
922.5,156419058
923.5,118318517
924.5,103406800
925.5,89682498
926.5,84622759
927.5,98134295
928.5,112719652
929.5,156955808
930.5,147791833
931.5,151413570
932.5,153505961
933.5,157057517
934.5,159086791
935.5,162139831
936.5,162765386
937.5,167147384
938.5,174584865
939.5,182004716
940.5,184676198
941.5,192246644
942.5,218368357
943.5,205572242
944.5,188715524
945.5,168183853
946.5,174423825
947.5,129416019
948.5,105819111
949.5,106316110
950.5,107362968
951.5,109724233
952.5,120185030
953.5,157667288
954.5,144582534
955.5,144362295
956.5,141990323
957.5,140927060
958.5,140901833
959.5,139755122
960.5,137801055
961.5,139752963
962.5,139791936
963.5,142833932
964.5,146228885
965.5,151345595
966.5,171854348
967.5,162319330
968.5,154381550
969.5,144846506
970.5,149798815
971.5,116664077
972.5,101618954
973.5,90919214
974.5,87248805
975.5,92008553
976.5,104518346
977.5,145577249
978.5,137037124
979.5,139617106
980.5,142233822
981.5,145560783
982.5,150583575
983.5,153192227
984.5,161875947
985.5,167182280
986.5,174901439
987.5,179065960
988.5,182025948
989.5,190011537
990.5,198242431
991.5,201051177
992.5,192153720
993.5,176344496
994.5,182092625
995.5,141371697
996.5,130148638
997.5,131580303
998.5,129303310
999.5,126606532
1000.5,133495352
1001.5,167499177
1002.5,152361559
1003.5,150619287
1004.5,146683403
1005.5,145964027
1006.5,155404452
1007.5,155945409
1008.5,149548415
1009.5,151854440
1010.5,154080758
1011.5,156426524
1012.5,155558822
1013.5,160477199
1014.5,167166817
1015.5,186615525
1016.5,174720105
1017.5,181617673
1018.5,204182182
1019.5,180239448
1020.5,161740101
1021.5,144612531
1022.5,135549939
1023.5,135609078
1024.5,138189695
1025.5,168728897
1026.5,158859232
1027.5,154853710
1028.5,151957652
1029.5,150272682
1030.5,180027214
1031.5,186617203
1032.5,189396301
1033.5,188333835
1034.5,189363277
1035.5,197499207
1036.5,202920140
1037.5,214186462
1038.5,224195715
1039.5,244237100
1040.5,225357236
1041.5,215712042
1042.5,230149592
1043.5,192050281
1044.5,181100958
1045.5,183487457
1046.5,176510656
1047.5,179339984
1048.5,182164365
1049.5,221385666
1050.5,206923814
1051.5,215838016
1052.5,207853164
1053.5,207999924
1054.5,206492029
1055.5,209106512
1056.5,202140230
1057.5,206420485
1058.5,205188318
1059.5,204535242
1060.5,205379418
1061.5,202381363
1062.5,208390173
1063.5,207344643
1064.5,197568612
1065.5,177030108
1066.5,187187077
1067.5,145092582
1068.5,126474170
1069.5,113768885
1070.5,106601201
1071.5,107644259
1072.5,118903247
1073.5,160308533
1074.5,151590693
1075.5,153107983
1076.5,155670051
1077.5,154895960
1078.5,157205696
1079.5,157664311
1080.5,156708685
1081.5,156851526
1082.5,159094027
1083.5,161224832
1084.5,163559168
1085.5,163434655
1086.5,166895083
1087.5,163787617
1088.5,149492074
1089.5,130064736
1090.5,132929185
1091.5,102906728
1092.5,93011066
1093.5,84752745
1094.5,81229054
1095.5,85208585
1096.5,87170998
1097.5,113360049
1098.5,103247057
1099.5,102336452
1100.5,100929412
1101.5,98513365
1102.5,96989708
1103.5,97146620
1104.5,96000767
1105.5,99779933
1106.5,104211668
1107.5,108692445
1108.5,110695796
1109.5,114916262
