Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)(10000000)
775.5,0
776.5,1444790
777.5,3053020
778.5,12233400
779.5,9206840
780.5,14265700
781.5,6200350
782.5,10773600
783.5,5115120
784.5,0
785.5,0
786.5,0
787.5,0
788.5,0
789.5,0
790.5,0
791.5,0
792.5,0
793.5,0
794.5,0
795.5,0
796.5,0
797.5,0
798.5,0
799.5,3573860
800.5,29528900
801.5,41040300
802.5,56209100
803.5,72877400
804.5,73144400
805.5,68578700
806.5,57499800
807.5,40050200
808.5,15886100
809.5,0
810.5,0
811.5,0
812.5,0
813.5,0
814.5,0
815.5,0
816.5,0
817.5,0
818.5,0
819.5,0
820.5,0
821.5,0
822.5,0
823.5,0
824.5,2400400
825.5,597389
826.5,6033300
827.5,13155900
828.5,7330330
829.5,4569370
830.5,23987000
831.5,5456980
832.5,1880370
833.5,0
834.5,0
835.5,0
836.5,0
837.5,0
838.5,0
839.5,0
840.5,0
841.5,0
842.5,0
843.5,0
844.5,0
845.5,0
846.5,0
847.5,7157170
848.5,37075200
849.5,58044800
850.5,71283900
851.5,76359400
852.5,76359400
853.5,73513800
854.5,61452000
855.5,43860800
856.5,18330300
857.5,0
858.5,0
859.5,0
860.5,0
861.5,0
862.5,0
863.5,0
864.5,0
865.5,0
866.5,0
867.5,0
868.5,0
869.5,0
870.5,0
871.5,1096300
872.5,8695530
873.5,4481650
874.5,7752250
875.5,14097200
876.5,14158900
877.5,41591400
878.5,14054200
879.5,3627550
880.5,1346090
881.5,0
882.5,0
883.5,0
884.5,0
885.5,0
886.5,0
887.5,0
888.5,0
889.5,0
890.5,0
891.5,0
892.5,0
893.5,0
894.5,0
895.5,1320590
896.5,7366260
897.5,32465500
898.5,26084700
899.5,12973400
900.5,22815400
901.5,26745000
902.5,11010400
903.5,3556790
904.5,44465.7
905.5,0
906.5,0
907.5,0
908.5,0
909.5,0
910.5,0
911.5,0
912.5,0
913.5,0
914.5,0
915.5,0
916.5,0
917.5,0
918.5,0
919.5,0
920.5,1485600
921.5,3195320
922.5,15369400
923.5,9496850
924.5,50961800
925.5,51727400
926.5,46303600
927.5,17654700
928.5,6651380
929.5,0
930.5,0
931.5,0
932.5,0
933.5,0
934.5,0
935.5,0
936.5,0
937.5,0
938.5,0
939.5,0
940.5,0
941.5,0
942.5,0
943.5,4735570
944.5,22888500
945.5,32249400
946.5,20848200
947.5,46560300
948.5,38311900
949.5,41968500
950.5,44551000
951.5,35329700
952.5,13670700
953.5,0
954.5,0
955.5,0
956.5,0
957.5,0
958.5,0
959.5,0
960.5,0
961.5,0
962.5,0
963.5,0
964.5,0
965.5,0
966.5,0
967.5,10448700
968.5,37083700
969.5,56820400
970.5,69680800
971.5,76359400
972.5,76359400
973.5,72296700
974.5,61552400
975.5,44264800
976.5,20007800
977.5,0
978.5,0
979.5,0
980.5,0
981.5,0
982.5,0
983.5,0
984.5,0
985.5,0
986.5,0
987.5,0
988.5,0
989.5,0
990.5,0
991.5,10048000
992.5,35318600
993.5,53301800
994.5,65491100
995.5,71812800
996.5,57210000
997.5,69288300
998.5,46990600
999.5,40961000
1000.5,17092800
1001.5,0
1002.5,0
1003.5,0
1004.5,0
1005.5,0
1006.5,0
1007.5,0
1008.5,0
1009.5,0
1010.5,0
1011.5,0
1012.5,0
1013.5,0
1014.5,0
1015.5,7502590
1016.5,1661580
1017.5,3977840
1018.5,12949500
1019.5,26831100
1020.5,43537000
1021.5,36882100
1022.5,33882000
1023.5,38263600
1024.5,15606400
1025.5,0
1026.5,0
1027.5,0
1028.5,0
1029.5,0
1030.5,0
1031.5,0
1032.5,0
1033.5,0
1034.5,0
1035.5,0
1036.5,0
1037.5,0
1038.5,0
1039.5,11195900
1040.5,36519000
1041.5,55860100
1042.5,68930500
1043.5,48163200
1044.5,39982600
1045.5,38797400
1046.5,28828100
1047.5,44044300
1048.5,19505600
1049.5,0
1050.5,0
1051.5,0
1052.5,0
1053.5,0
1054.5,0
1055.5,0
1056.5,0
1057.5,0
1058.5,0
1059.5,0
1060.5,0
1061.5,0
1062.5,0
1063.5,10310800
1064.5,35924100
1065.5,56801000
1066.5,71407400
1067.5,76359400
1068.5,76359400
1069.5,76359400
1070.5,65110200
1071.5,47080000
1072.5,22463000
1073.5,0
1074.5,0
1075.5,0
1076.5,0
1077.5,0
1078.5,0
1079.5,0
1080.5,0
1081.5,0
1082.5,0
1083.5,0
1084.5,0
1085.5,0
1086.5,0
1087.5,12919700
1088.5,38975400
1089.5,58000300
1090.5,69896900
1091.5,76359400
1092.5,76359400
1093.5,72113500
1094.5,61346300
1095.5,44395600
1096.5,20687700
1097.5,0
1098.5,0
1099.5,0
1100.5,0
1101.5,0
1102.5,0
1103.5,0
1104.5,0
1105.5,0
1106.5,0
1107.5,0
1108.5,0
1109.5,0
1110.5,0
1111.5,11390000
1112.5,35683400
1113.5,53254900
1114.5,65097200
1115.5,71581300
1116.5,72386800
1117.5,67655000
1118.5,57210100
1119.5,41499500
1120.5,19374700
1121.5,0
1122.5,0
1123.5,0
1124.5,0
1125.5,0
1126.5,0
1127.5,0
1128.5,0
1129.5,0
1130.5,0
1131.5,0
1132.5,0
1133.5,0
1134.5,0
1135.5,1043720
1136.5,2577310
1137.5,8351980
1138.5,17176100
1139.5,25052100
1140.5,15759800
1141.5,13624200
1142.5,14429100
1143.5,6408910
